platform,country,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,engagement_rate,trend_label,source_hint,notes,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,sample_comments,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,row_id,engagement_total,like_rate,dislike_rate,engagement_per_1k,engagement_like_rate,engagement_comment_rate,engagement_share_rate
TikTok,Jp,Asia,ja,Gaming,#Lifestyle,Night Routine — College,NextVision,trending,8bit loop,1,40,252497,21755,3170,1977,3415,0.120069,rising,TikTok Creative Center,split-screen,Android,15,Lifestyle,4,Short,63124.25,1011,0.012555,0.00783,0.013525,21.497036,Saturday,Afternoon,Regular,"daily, lifestyle, motivation",ずっと見ちゃう😂,96474.3,Mid,Spring,2025-01-04,2025-01,Night Routine — Productivity 🏖️,31,1,25.8,0.645,iPhone,External,1,2e681528d17a1fe1986857942536ec27,30317,0.086159,0.004004,120.069,0.0861594395180932,0.0125546046091636,0.0078297959975762
TikTok,Se,Europe,sv,Food,#Sports,Morning Routine — College,DailyVlogsDiego,trending,Street vibe,1,18,270580,23080,2124,2108,3265,0.113005,declining,TikTok Creative Center,greenscreen,Android,3,Sports,56,Evergreen,4831.79,655,0.00785,0.007791,0.012067,35.182927,Wednesday,Night,Regular,"gym, football, workout",This is fire 🔥,104638.4,Mid,Fall,2025-01-01,2025-01,Football skills in 60s 📱,24,1,10.4,0.578,iPhone,Search,0,2e35fa0b2978b9cae635839c1d4e9e74,30577,0.085298,0.002421,113.005,0.0852982482075541,0.0078498041244733,0.007790671890014
TikTok,Za,Africa,en,Art,#Workout,Night Routine — College,BeyondHub,licensed,Gallery pad,1,22,7385,363,33,38,69,0.068111,seasonal,TikTok Creative Center,subtitles,Android,15,Sports,11,Medium,671.36,12,0.004469,0.005146,0.009343,27.923077,Sunday,Afternoon,Regular,"football, gym, workout",Instant like!,108139.9,Mid,Fall,2025-01-05,2025-01,Football skills in 60s,22,0,11.7,0.532,Huawei,External,1,0d88a011235a82244995ef52961f9502,503,0.049154,0.001625,68.111,0.0491536899119837,0.0044685172647257,0.0051455653351387
TikTok,Kr,Asia,ko,News,#Esports,Best Settings for Fortnite,NextHub,original,Neutral piano,1,36,72377,6243,811,383,391,0.108156,declining,Open Web Samples,cinematic b-roll,Android,15,Gaming,10,Medium,7237.7,229,0.011205,0.005292,0.005402,27.143478,Friday,Afternoon,SummerBreak,"fps, esports, clips, gaming, valorant, highlights",Can’t stop watching 😂,102133.2,Mid,Summer,2025-01-03,2025-01,Pro Tips for Valorant in 60s 🎮,30,1,23.7,0.658,Huawei,Search,1,e15cff7621ed3f9eb9d2c97c841be0f3,7828,0.086257,0.003164,108.156,0.0862566837531259,0.0112052171269878,0.0052917363250756
TikTok,Au,Oceania,en,Beauty,#Comedy,When your friend is Beginners,LucasOfficial,licensed,Soft glam loop,1,35,16174,832,68,67,204,0.0724,seasonal,TikTok Creative Center,text-to-speech,Android,18,Comedy,6,Short,2695.67,19,0.004204,0.004142,0.012613,41.6,Saturday,Evening,Regular,"comedy, relatable, sketch",So underrated!,87549.4,Mid,Fall,2025-01-04,2025-01,POV: Budget 😂,13,1,24.6,0.703,Huawei,ForYou,1,d696b4f0a50ea70e7cb5021be7e198ec,1171,0.051441,0.001175,72.4,0.051440583652776,0.0042042784716211,0.0041424508470384
TikTok,Ke,Africa,sw,Art,#FYP,I flipped this sample,DanceWithAhmed,licensed,Indie brush,1,33,47449,2462,254,245,155,0.065671,seasonal,TikTok Creative Center,facecam,Android,18,Music,12,Medium,3954.08,83,0.005353,0.005163,0.003267,29.309524,Friday,Evening,Regular,"beat, music, song, cover",This is fire 🔥,96805.5,Mid,Fall,2025-01-03,2025-01,I flipped this sample 🧠,23,1,18.1,0.548,iPhone,Search,1,a2100bd7c9b924b156281885148c33f8,3116,0.051887,0.001749,65.671,0.0518872895108432,0.0053531159771544,0.0051634386393812
TikTok,Us,North America,en,Food,#Travel,Hidden Gems of New York,ProJiwoo,licensed,Sizzle ASMR,1,26,27099,1868,257,218,306,0.097753,rising,TikTok Creative Center,fast captions,iOS,21,Travel,19,Medium,1426.26,51,0.009484,0.008045,0.011292,35.923077,Sunday,Evening,SummerBreak,"food tour, guide, hidden gems",Can’t stop watching 😂,86079.6,Mid,Summer,2025-01-05,2025-01,24 Hours in Istanbul 🧠,22,1,20.2,0.777,Pixel,ForYou,1,1e3f2a7357af75024849730b4404354a,2649,0.068932,0.001882,97.753,0.0689324329311044,0.0094837447876305,0.0080445772906749
TikTok,Us,North America,en,Fitness,#Music,Perfect — Cover,DanceWithOmar,trending,HIIT drums,1,18,172755,8917,1084,562,556,0.064363,seasonal,Open Web Samples,text-to-speech,Android,23,Music,7,Short,24679.29,64,0.006275,0.003253,0.003218,137.184615,Sunday,Night,Regular,"cover, music, song, beat",Can’t stop watching 😂,101492.8,Mid,Spring,2025-01-05,2025-01,Perfect — Cover 📱,17,1,13.1,0.728,Xiaomi,ForYou,1,c29ed021d91080e21ddb11e08ad9e9db,11119,0.051616,0.00037,64.363,0.0516164510433851,0.0062747822060142,0.003253161992417
TikTok,Br,South America,pt,Food,#FYP,Street Food Tour in London,StreetMedia,licensed,Kitchen groove,1,31,166299,7577,584,556,559,0.055779,rising,TikTok Creative Center,greenscreen,iOS,18,Travel,17,Medium,9782.29,58,0.003512,0.003343,0.003361,128.423729,Friday,Evening,HolidaySeason,"guide, hidden gems, vlog",Thanks for this!,90954.4,Mid,Winter,2025-01-03,2025-01,24 Hours in Seoul,17,0,21.9,0.706,Oppo,ForYou,1,b433c75f04a8b39266390ebfd673b7e9,9276,0.045563,0.000349,55.779,0.0455625108990432,0.0035117469136916,0.0033433754863228
TikTok,Ar,South America,es,Fitness,#LearnOnTikTok,Night Routine — 2025,MissLiam,licensed,Hype trap,1,34,136110,7911,784,492,544,0.071494,rising,TikTok Creative Center,emoji overlays,Web,18,Education,3,Short,45370.0,201,0.00576,0.003615,0.003997,39.163366,Friday,Evening,Regular,"tips, productivity, learn, notes, study",¡Increíble!,95343.0,Mid,Fall,2025-01-03,2025-01,Study With Me — 2025 ✨,22,1,17.0,0.5,Desktop,ForYou,1,074ee54c8c61d0ef25274a9dc988802c,9731,0.058122,0.001477,71.494,0.0581221071192417,0.005760047020792,0.003614723385497
